user_id,status_id,"Label (0: No, 1: Low Confidence, 2: High confidence, NA: invalid)",text
40892016,1.19783E+18,1,"Tonight I can't sleep, we livin' in Hell. First they give us the work, then they throw us in jail. I gotta go to work."
42836999,1.19741E+18,0,"Now, @JasonNixonAB has limited committee debate on the corrupt Bill 22 to one hour. This UCP Government is destroying our democracy in the middle of the night, under cover of darkness, while Albertans sleep. This is disgusting. You can’t hide in Texas forever @jkenney #ableg"
10798802,1.19769E+18,0,"goodnight, all. i love every single one of you. yes...even you. nothing you can say to stop me. i just love you a whole lot. sleep tight, dream sweetly. 

don’t forget that hurt people hurt people, and we can have endless compassion for one another if we just do it. so, do it.
<U+2665><U+FE0F>"
966181676484358000,1.19795E+18,0,"this isn't the case with eeeeevery single person but if you can drink a cup of coffee and then go to sleep, or even feel like caffeine helps you sleep better? that might be why"
1009319133928770000,1.19795E+18,2,can't sleep <U+2639><U+FE0F><U+0001F912> https://t.co/fVxUxoBzYs
21704309,1.19795E+18,0,"Can't powerful men find grown women to sleep with them, or is this just another form of power trip for them?

Celebrity Self-Help Guru Tony Robbins Has Been Accused of Sexually Assaulting a Teen Girl https://t.co/MS5lKq4eBy"
724607208655196000,1.19795E+18,0,@4TH31ST Yeah. And I haven’t to bed yet because I can still stay up another 2 hours and still get 7 hours sleep.
724607208655196000,1.19792E+18,1,"@namerankssn I’m curled up in bed. I’m going to have to get up and cook something because I can’t sleep when I’m hungry. 

(Sucks to be me)."
1127209652800890000,1.19795E+18,1,Damn it! Watched that vogue video now I'm hype and can't go back to sleep <U+0001F643><U+0001F643><U+0001F643>
943380798656233000,1.19795E+18,2,"Hi, it’s 2:58AM rn and I can’t sleep"
843872157503447000,1.19795E+18,0,I either sleep or i drop the cheesecake. .. i can't do both Ray https://t.co/VBpGN0XbQT
1090287448104540000,1.19795E+18,2,why the fuck i can't sleep.
520175241,1.19795E+18,2,got a long day tmro and i can't sleep <U+0001F622>
418061846,1.19795E+18,0,"Why I try to make peace with anyone I have unresolved issues with before I sleep is bcs I always have this thought ""what if I won't wake up the next day and won't get a chance to fix it?"". Some could just sleep on it and forget but I can't."
89747877,1.19795E+18,2,Not feeling well.. Can't sleep because of the pain that I'm feeling.. <U+0001F625>
3219739003,1.19795E+18,1,When you can't sleep stay awake to morning
1419047989,1.19795E+18,0,"Don't always be so gullible. My mate Seth got a knock at the door by ""Jehovah's Witnesses"" last year. He can't get rid of them. He knows the Bible word for word and they now sleep at the bottom of his bed singing anything by The Carpenters."
1056730362724790000,1.19795E+18,2,Can't sleep <U+0001F614>
760803140916523000,1.19795E+18,2,Can't sleep
1175323618617770000,1.19795E+18,2,#kotloyals Am so obsessed with Twitter that i can't even get enough sleep
393059147,1.19795E+18,0,i just knew i was gone be knocked out until it was my turn to drive but i can’t sleep fr w/ other ppl driving
1151287441581570000,1.19795E+18,0,Can’t wait to sleep in tomorrow  before I work 5 days straight
